assumptionId,questionId,subquestionId,assumption,question,container,container_depth1,container_depth2,container_depth3
88,,,Therapists want to learn about their clients to understand how they can help them,,3 Data and trends,3 Data and trends,,
88,34,A(88):Q(34):1,Therapists want to learn about their clients to understand how they can help them,"When there's something bothering the client, what is the first thing you do?",3 Data and trends,3 Data and trends,,
88,34,A(88):Q(34):2,Therapists want to learn about their clients to understand how they can help them,What are the challenges of trying to understand your clients?,3 Data and trends,3 Data and trends,,
88,34,A(88):Q(34):3,Therapists want to learn about their clients to understand how they can help them,What techniques or tools do you use to make it easier?,3 Data and trends,3 Data and trends,,
89,,,Therapists can learn only those things about their client that their client tells / allows,,3 Data and trends,3 Data and trends,,
90,,,Therapist can provide better help if they know more about client,,3 Data and trends,3 Data and trends,,
90,36,A(90):Q(36):1,Therapist can provide better help if they know more about client,"If you could see how the client lives, what would you look for that would allow you to make the biggest positive impact during the sessions",3 Data and trends,3 Data and trends,,
70,,,Therapists can interpret the various information on client and use it correctly,,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
69,,,Therapists believe the various info on client is useful and trustworthy,,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
68,,,Therapists trust the data because it correlates with their intuition of what they are seeing in the client,,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
68,28,A(68):Q(28):1,Therapists trust the data because it correlates with their intuition of what they are seeing in the client,"How would you react if the tool indicated them that the client's behaviour outside of therapy session is different from what you would expect based on in-session interactions? (Eg if they seem content during sessions, but outside it, they write to friends about suicide)",3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
68,28,A(68):Q(28):2,Therapists trust the data because it correlates with their intuition of what they are seeing in the client,Do you trust your intuition about your client?,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
68,28,A(68):Q(28):3,Therapists trust the data because it correlates with their intuition of what they are seeing in the client,"If we say that your intuition reflects a mixture of experiences and observations, what do you think are the features that have the greatest impact on your intuition?",3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
68,28,A(68):Q(28):4,Therapists trust the data because it correlates with their intuition of what they are seeing in the client,When was a time when your intuition about your client turned out to be true?,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
68,28,A(68):Q(28):5,Therapists trust the data because it correlates with their intuition of what they are seeing in the client,When was a time when your intuition about your client turned out to be wrong? Did it have any negative consequences?,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
67,,,Therapists use their intuition to make decision about their clients,,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
64,,,Therapists know about various methods how to use different clients' data points,,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
66,,,"In therapy sessions, therapists are bombarded with large amount of info, but they have limited tools and capacity",,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
62,,,Tools can help therapists process the client's behaviour data into actionable insights,,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
62,25,A(62):Q(25):1,Tools can help therapists process the client's behaviour data into actionable insights,What would be examples of such insights? And what would be their impact?,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
62,25,A(62):Q(25):2,Tools can help therapists process the client's behaviour data into actionable insights,"If you had such insights, what impact would it have on your day-to-day work? What would change and what would remain the same?",3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
63,,,Client's data is useful only if it can be used to draw further actions or decisions,,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
63,26,A(63):Q(26):1,Client's data is useful only if it can be used to draw further actions or decisions,What would be examples of such actions?,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
63,26,A(63):Q(26):2,Client's data is useful only if it can be used to draw further actions or decisions,Are there cases when drawing actions based on observed data would be misleading?,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
65,,,Therapists learnt or experienced how different data can be used,,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
65,27,A(65):Q(27):1,Therapists learnt or experienced how different data can be used,"If they haven't come across the info of how to use the data, who will teach them that?",3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
65,27,A(65):Q(27):2,Therapists learnt or experienced how different data can be used,Where did they learn&nbsp;how to use the data? Was it theoretical (education) or practical (from exp)?,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
65,27,A(65):Q(27):3,Therapists learnt or experienced how different data can be used,"If they don't know how to use the data, how would they find out about it? Would it be intuitive for them to think ""I can use this observation to learn about the client""",3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
86,,,The client's data is accessible BEFORE their therapy programme,,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
86,32,A(86):Q(32):1,The client's data is accessible BEFORE their therapy programme,What could be such data?,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
87,,,Clients' data can be ranked or compared between different clients,,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
87,33,A(87):Q(33):1,Clients' data can be ranked or compared between different clients,What could be such data?,3 Data and trends / 3.1 Data capture,3 Data and trends,3.1 Data capture,
71,,,Therapist can use client's data from within the session,,3 Data and trends / 3.1 Data capture / 3.1.1 In-session data,3 Data and trends,3.1 Data capture,3.1.1 In-session data
71,29,A(71):Q(29):1,Therapist can use client's data from within the session,"How could you use observation of clients' body language, facial expressions, speech, etc, to help them get better?",3 Data and trends / 3.1 Data capture / 3.1.1 In-session data,3 Data and trends,3.1 Data capture,3.1.1 In-session data
72,,,Client's in-session data can be capture and processed and provided to the therapist,,3 Data and trends / 3.1 Data capture / 3.1.1 In-session data,3 Data and trends,3.1 Data capture,3.1.1 In-session data
72,30,A(72):Q(30):1,Client's in-session data can be capture and processed and provided to the therapist,"Imagine that during your session, you're both on cameras, and a website tells you when it notices indicators for stress, anxiety, or else. Would you use such tool?",3 Data and trends / 3.1 Data capture / 3.1.1 In-session data,3 Data and trends,3.1 Data capture,3.1.1 In-session data
72,30,A(72):Q(30):2,Client's in-session data can be capture and processed and provided to the therapist,Do you think clients would want to use such tool to be used?,3 Data and trends / 3.1 Data capture / 3.1.1 In-session data,3 Data and trends,3.1 Data capture,3.1.1 In-session data
72,30,A(72):Q(30):3,Client's in-session data can be capture and processed and provided to the therapist,What indicators could be there?,3 Data and trends / 3.1 Data capture / 3.1.1 In-session data,3 Data and trends,3.1 Data capture,3.1.1 In-session data
